00000 3F842116
00004 3FA9DC8F
00008 3FEFC367
0000C 3FF589B9
00010 3FCE8E8C
00014 3FA1B9E5
00018 3FB727E6
0001C 3FED037F
00020 3FAC7433
00024 3F94DCD2
00028 3FD6B670
0002C 3FDA0308
00030 3FECCEA3
00034 3FA9BD47
00038 3F8914D9
0003C 3FF1EECC
00040 3FCAB0B3
00044 3FBE74EA
00048 3F903E9A
0004C 3FB28130
00050 3FF51C22
00054 3FBC5550
00058 3FAB6587
0005C 3F8790F4
00060 3F9834A9
00064 3FCB2245
00068 3F95A05A
0006C 3FCFE542
00070 3F9671B6
00074 3FE85F6E
00078 3F92142E
0007C 3F880D50
00080 00000000
00084 00000000
00088 00000000
0008C 00000000
00090 00000000
00094 00000000
00098 00000000
0009C 00000000
000A0 00000000
000A4 00000000
000A8 00000000
000AC 00000000
000B0 00000000
000B4 00000000
000B8 00000000
000BC 00000000
000C0 00000000
000C4 00000000
000C8 00000000
000CC 00000000
000D0 00000000
000D4 00000000
000D8 00000000
000DC 00000000
000E0 00000000
000E4 00000000
000E8 00000000
000EC 00000000
000F0 00000000
000F4 00000000
000F8 00000000
000FC 00000000
00100 00000000
00104 00000000
00108 00000000
0010C 00000000
00110 00000000
00114 00000000
00118 00000000
0011C 00000000
00120 00000000
00124 00000000
00128 00000000
0012C 00000000
00130 00000000
00134 00000000
00138 00000000
0013C 00000000
00140 00000000
00144 00000000
00148 00000000
0014C 00000000
00150 00000000
00154 00000000
00158 00000000
0015C 00000000
00160 00000000
00164 00000000
00168 00000000
0016C 00000000
00170 00000000
00174 00000000
00178 00000000
0017C 00000000
00180 00000000
00184 00000000
00188 00000000
0018C 00000000
00190 00000000
00194 00000000
00198 00000000
0019C 00000000
001A0 00000000
001A4 00000000
001A8 00000000
001AC 00000000
001B0 00000000
001B4 00000000
001B8 00000000
001BC 00000000
001C0 00000000
001C4 00000000
001C8 00000000
001CC 00000000
001D0 00000000
001D4 00000000
001D8 00000000
001DC 00000000
001E0 00000000
001E4 00000000
001E8 00000000
001EC 00000000
001F0 00000000
001F4 00000000
001F8 00000000
001FC 00000000
00200 00000000
00204 00000000
00208 00000000
0020C 00000000
00210 00000000
00214 00000000
00218 00000000
0021C 00000000
00220 00000000
00224 00000000
00228 00000000
0022C 00000000
00230 00000000
00234 00000000
00238 00000000
0023C 00000000
00240 00000000
00244 00000000
00248 00000000
0024C 00000000
00250 00000000
00254 00000000
00258 00000000
0025C 00000000
00260 00000000
00264 00000000
00268 00000000
0026C 00000000
00270 00000000
00274 00000000
00278 00000000
0027C 00000000
00280 00000000
00284 00000000
00288 00000000
0028C 00000000
00290 00000000
00294 00000000
00298 00000000
0029C 00000000
002A0 00000000
002A4 00000000
002A8 00000000
002AC 00000000
002B0 00000000
002B4 00000000
002B8 00000000
002BC 00000000
002C0 00000000
002C4 00000000
002C8 00000000
002CC 00000000
002D0 00000000
002D4 00000000
002D8 00000000
002DC 00000000
002E0 00000000
002E4 00000000
002E8 00000000
002EC 00000000
002F0 00000000
002F4 00000000
002F8 00000000
002FC 00000000
00300 00000000
00304 00000000
00308 00000000
0030C 00000000
00310 00000000
00314 00000000
00318 00000000
0031C 00000000
00320 00000000
00324 00000000
00328 00000000
0032C 00000000
00330 00000000
00334 00000000
00338 00000000
0033C 00000000
00340 00000000
00344 00000000
00348 00000000
0034C 00000000
00350 00000000
00354 00000000
00358 00000000
0035C 00000000
00360 00000000
00364 00000000
00368 00000000
0036C 00000000
00370 00000000
00374 00000000
00378 00000000
0037C 00000000
00380 00000000
00384 00000000
00388 00000000
0038C 00000000
00390 00000000
00394 00000000
00398 00000000
0039C 00000000
003A0 00000000
003A4 00000000
003A8 00000000
003AC 00000000
003B0 00000000
003B4 00000000
003B8 00000000
003BC 00000000
003C0 00000000
003C4 00000000
003C8 00000000
003CC 00000000
003D0 00000000
003D4 00000000
003D8 00000000
003DC 00000000
003E0 00000000
003E4 00000000
003E8 00000000
003EC 00000000
003F0 00000000
003F4 00000000
003F8 00000000
003FC 00000000
00400 00000000
00404 00000000
00408 00000000
0040C 00000000
00410 00000000
00414 00000000
00418 00000000
0041C 00000000
00420 00000000
00424 00000000
00428 00000000
0042C 00000000
00430 00000000
00434 00000000
00438 00000000
0043C 00000000
00440 00000000
00444 00000000
00448 00000000
0044C 00000000
00450 00000000
00454 00000000
00458 00000000
0045C 00000000
00460 00000000
00464 00000000
00468 00000000
0046C 00000000
00470 00000000
00474 00000000
00478 00000000
0047C 00000000
00480 00000000
00484 00000000
00488 00000000
0048C 00000000
00490 00000000
00494 00000000
00498 00000000
0049C 00000000
004A0 00000000
004A4 00000000
004A8 00000000
