00000 3E837929
00004 BEB8BB33
00008 BF53332D
0000C BE6461A6
00010 BF19B7C7
00014 40A2514A
00018 3FA77316
0001C C08D0C2E
00020 40707770
00024 3E1C60B3
00028 C0154338
0002C C082D34C
00030 3F2EF5C0
00034 3E2C5408
00038 C0471F76
0003C 3E8F24C1
00040 C06DFE02
00044 C01729A0
00048 40AD1350
0004C BFA27A06
00050 3FF02EA7
00054 BF8F05B8
00058 BE8782C0
0005C C07DCCAF
00060 C02B902F
00064 BFCA2760
00068 BF9F371D
0006C BF2C0574
00070 409C4A62
00074 BF9F08A7
00078 C0438CB0
0007C 407AC302
00080 3ED07149
00084 BDF6C80A
00088 BF5449AE
0008C BEB87E11
00090 BF362F87
00094 40BD60CB
00098 3F9CEE47
0009C C0A0070B
000A0 408050BD
000A4 3D55962A
000A8 C002BB1C
000AC C08D4801
000B0 3F435ECF
000B4 BDDD1E98
000B8 C04F3D64
000BC 3D14107B
000C0 C072300D
000C4 C02408A8
000C8 40AB2CE1
000CC BF8F1224
000D0 3FCBC2EC
000D4 BF7E4404
000D8 BF2156FA
000DC C089F88E
000E0 C0421E10
000E4 BFDEE990
000E8 BF5ABF89
000EC BF13BC03
000F0 40AE00EA
000F4 BFA5C277
000F8 C0469F10
000FC 407AC8E6
00100 3ED4BA37
00104 3B37D398
00108 BF770CC7
0010C BEE1E219
00110 BF1DF201
00114 40BBF6AA
00118 3F8DFA03
0011C C0A3C2DC
00120 407B440D
00124 BCB53383
00128 C004429A
0012C C08A41E1
00130 3F48341F
00134 BE9702BA
00138 C0515222
0013C BD5D8F5C
00140 C0783A0E
00144 C01A80CA
00148 40ACB90D
0014C BF954B34
00150 3FC027C8
00154 BF6E7397
00158 BF482EDB
0015C C0892995
00160 C0418918
00164 BFDFEE43
00168 BF5AD7AE
0016C BF1F9DE1
00170 40AAC00A
00174 BFA8AD3E
00178 C04DF979
0017C 40703E08
00180 3EB3538E
00184 BE589750
00188 BFA11883
0018C BECE5A24
00190 BEFC829B
00194 40AF479B
00198 3F82B0AB
0019C C0A1956B
001A0 4065E487
001A4 3DCB0F41
001A8 C0032A24
001AC C0855A2B
001B0 3F60EE2A
001B4 BEA60194
001B8 C044D9C6
001BC 3E4886F3
001C0 C0775D4F
001C4 C01BD8D2
001C8 40ADEC7E
001CC BFA90813
001D0 3FC98AD5
001D4 BF27194E
001D8 BF25069C
001DC C0896A08
001E0 C0432C3E
001E4 BFC7E27A
001E8 BF6450B1
001EC BF2EA865
001F0 40A08D18
001F4 BF88CC42
001F8 C04D8053
001FC 406318F9
00200 3EB6FE3D
00204 BE9C5FE3
00208 BFABA629
0020C BED23C71
00210 BEE0B85E
00214 40AC0C2C
00218 3F7BED50
0021C C0A4936D
00220 4061358C
00224 3EE38B1C
00228 BFF446CC
0022C C0858AE1
00230 3F78F7A2
00234 BE9BC92F
00238 C0339863
0023C 3E73B159
00240 C073EA40
00244 C02BBD4B
00248 40B04852
0024C BF8A1041
00250 3FC5B110
00254 BEF7419D
00258 BF01E524
0025C C0904886
00260 C042F7E5
00264 BFAF9261
00268 BF5378E8
0026C BF2494C0
00270 40A56F4F
00274 BF505363
00278 C043C535
0027C 4067040D
00280 BCCD6986
00284 BE8A4BC3
00288 BD9700D1
0028C 3DA32E15
00290 BE5A17F7
00294 3F899023
00298 3F07CDA5
0029C BF42EE4D
002A0 3F79421A
002A4 3E06557F
002A8 BF3230F8
002AC BF828502
002B0 3DF1795E
002B4 3EBFB310
002B8 BF3ACBE8
002BC 3E6344E8
002C0 BF59274C
002C4 BF1F3317
002C8 3FAF6FC0
002CC BE9CDED7
002D0 3F3E2E79
002D4 BEDA66B6
002D8 3E6AD59E
002DC BF5CFD0D
002E0 BF0A6FE0
002E4 BEB0D0AC
002E8 BEE7BC21
002EC BE45E00A
002F0 3F913735
002F4 BEA293F1
002F8 BF1E0098
002FC 3F95E490
00300 3E3FA910
00304 3E055148
00308 3E46F866
0030C BD75D5B1
00310 BECA7D3D
00314 3FF69944
00318 3ED7F971
0031C BF9C409F
00320 3FB07673
00324 BE398725
00328 BEFC5623
