00000 00008828
00004 00008FFC
00008 00009F55
0000C 0000A611
00010 0000DD81
00014 0001435C
00018 00015D74
0001C 00018327
00020 0001B34E
00024 0001F1BE
00028 0001F5C2
0002C 00020DDB
00030 00024539
00034 000253B2
00038 00028BBB
0003C 0002981D
00040 0002B8ED
00044 0002C3AF
00048 0002E559
0004C 0003641B
00050 0003AA56
00054 0003B94E
00058 0003EF02
0005C 0004043E
00060 00041775
00064 00042BE4
00068 00043A03
0006C 00043EA6
00070 00044894
00074 00050620
00078 00051208
0007C 0005168C
00080 00051CF5
00084 00055524
00088 00056798
0008C 00057EF6
00090 0005B374
00094 0005B99C
00098 0005C433
0009C 000613DA
000A0 00064855
000A4 0006723E
000A8 00067F81
000AC 000694A5
000B0 0006A0F1
000B4 0006A0F1
000B8 0006A63C
000BC 0006AAAB
000C0 0006C9D6
000C4 0006DAA5
000C8 00070A9F
000CC 00072D5E
000D0 000730FC
000D4 000744AD
000D8 000757F8
000DC 000758A1
000E0 00076127
000E4 00077FFD
000E8 000782E1
000EC 00078460
000F0 000788A5
000F4 0007A2BC
000F8 0007BF93
000FC 0007E0CC
00100 0007E8C9
00104 000811DF
00108 0008507C
0010C 00085CB9
00110 00085F7B
00114 00087C86
00118 0008BC7C
0011C 0008D0D4
00120 0008D8F5
00124 00096350
00128 00099711
0012C 0009A6E7
00130 0009CB92
00134 000A186C
00138 000A2832
0013C 000A6D80
00140 000A8534
00144 000A9886
00148 000AA12B
0014C 000AB51D
00150 000ABEB4
00154 000B0E31
00158 000B1959
0015C 000B2162
00160 000B240D
00164 000B2D90
00168 000B5D1A
0016C 000B84A6
00170 000BA075
00174 000BA075
00178 000BB71E
0017C 000C12F3
00180 000C5777
00184 000C7370
00188 000C7370
0018C 000CBC34
00190 000CDFAF
00194 000CE4EB
00198 000CF0C0
0019C 000D1EEB
001A0 000D435D
001A4 000D5D78
001A8 000D7DC1
001AC 000D9EB2
001B0 000DB4CB
001B4 000DF88E
001B8 000E33FA
001BC 000E40A5
001C0 000E535E
001C4 000E671D
001C8 000E81AA
001CC 000E9E9C
001D0 000EA6D6
001D4 000EA77D
001D8 000EB789
001DC 000EBD50
001E0 000ECED2
001E4 000F0104
001E8 000F0DDF
001EC 000F3796
001F0 000F4443
001F4 000F903F
001F8 000F9A47
001FC 000FFF69
00200 00010C08
00204 0004AD32
00208 000F12A9
0020C 00022AA5
00210 00095654
00214 0009AB97
00218 000C07AA
0021C 000105D8
00220 000066C3
00224 0005F4B3
00228 0002E6E6
0022C 0006433C
00230 000988EE
00234 000D7AC1
00238 00057C43
0023C 00054F32
00240 000A0FDF
00244 000358B8
00248 000D744E
0024C 000012A9
00250 0004042A
00254 000C0CB8
00258 0005394F
0025C 000FF053
00260 000B6D9C
00264 00035009
00268 0006763C
0026C 000377B7
00270 00052BDD
00274 000094C2
00278 0008BE75
0027C 00078E7F
00280 0003B277
00284 000C87FE
00288 000FC1B9
0028C 000B6998
00290 0006FD5B
00294 000C8F8C
00298 000F83A2
0029C 000F4970
002A0 00041C8E
002A4 000DC6D4
002A8 00065CF3
002AC 0000E445
002B0 00096A27
002B4 0000052D
002B8 000C6C31
002BC 00031238
002C0 0003F737
002C4 00012F28
002C8 000DFA01
002CC 000EE267
002D0 00024E71
002D4 000EEE39
002D8 000D0C0B
002DC 000783BF
002E0 0001398F
002E4 000A8629
002E8 0000723F
002EC 000106B0
002F0 0004E21F
002F4 000B7BD9
002F8 000D457F
002FC 000A6BF0
00300 000FA2CA
00304 00026D4D
00308 00012E8A
0030C 000E34AC
00310 000EB43E
00314 0009278E
00318 0007FB65
0031C 00078B4D
00320 000AE8C1
00324 000DD01A
00328 000584F5
0032C 00032425
00330 000949B1
00334 000FF15C
00338 00067DED
0033C 000D2A02
00340 000A2D07
00344 000C2133
00348 000A1BAD
0034C 000A0C42
00350 000F1669
00354 000C28F8
00358 0003414D
0035C 00094C20
00360 000BD094
00364 000A0234
00368 000A4346
0036C 0004AFAC
00370 000414E1
00374 00004CCA
00378 000D6286
0037C 000C5DE8
00380 000942B5
00384 000F5A03
00388 000DBA65
0038C 0009C22F
00390 0009BBBF
00394 00031B02
00398 00028BA6
0039C 0000B250
003A0 000C6FCC
003A4 000ADD0F
003A8 000B2ADD
003AC 00012DE4
003B0 000AC724
003B4 000B3847
003B8 00022840
003BC 0002C31A
003C0 000773C4
003C4 0006103D
003C8 00015D60
003CC 0009B04C
003D0 000F81DA
003D4 000E4019
003D8 00066C44
003DC 000B3870
003E0 0002CD99
003E4 0002338C
003E8 0000D174
003EC 00066CBA
003F0 00070422
003F4 000CABA5
003F8 0002353A
003FC 000B9D9C
00400 00003849
00404 000AD7AB
00408 0003103F
0040C 000CCF49
00410 0009FEA4
00414 000BA119
00418 0009044A
0041C 000013A6
00420 000E1B2A
00424 000D27F3
00428 0007D433
0042C 00011149
00430 000E6C3B
00434 0007C5C7
00438 000A9D6E
0043C 000B844F
00440 000EFA73
00444 000C34EE
00448 000616FC
0044C 0009A2DF
00450 0004C2EF
00454 00051EBD
00458 000F2C13
0045C 000E9443
00460 000C318A
00464 0005A22E
00468 00021A66
0046C 00046A45
00470 0007573F
00474 0000640D
00478 00069B8C
0047C 0008D0AF
00480 0001DD31
00484 000A55DB
00488 0000056D
0048C 0007F86A
00490 0004826B
00494 00099DCB
00498 00098ACC
0049C 0009B266
004A0 000F6CAD
004A4 00015365
004A8 000C7FD2
004AC 00033A12
004B0 000D2DAB
004B4 0005FCA1
004B8 000198E1
004BC 000969E0
004C0 00080BF7
004C4 000B79A7
004C8 0003264F
004CC 0004A3D5
004D0 0008D71A
004D4 00033D84
004D8 000F9334
004DC 00000636
004E0 000FE7AA
004E4 00088EDD
004E8 00036A3F
004EC 0005DAD9
004F0 000026A4
004F4 0005E19B
004F8 0005FFE0
004FC 000764B3
00500 000B3BF3
00504 0002F311
00508 00022D40
0050C 000238B6
00510 000D2C5B
00514 00098C36
00518 000FCDA1
0051C 00050E88
00520 000220C7
00524 0001720C
00528 000BBBFE
0052C 000902E9
00530 000CEB55
00534 0005DB41
00538 0008DCCC
0053C 000C2591
00540 0009C6DB
00544 00080844
00548 0001A3DE
0054C 000FA26C
00550 000A156C
00554 00074BF7
00558 00047340
0055C 0003B07C
00560 000E7154
00564 000E2EBF
00568 00038DA2
0056C 0005704B
00570 00041194
00574 0000EE12
00578 00026C9C
0057C 0000F9A4
00580 000E67D1
00584 000D4F20
00588 000D52A4
0058C 000747DA
00590 000F5738
00594 0009938B
00598 000456CC
0059C 00073FDB
005A0 00031CCA
005A4 0007CE1F
005A8 0009D389
005AC 000C75D5
005B0 000082C2
005B4 0004167A
005B8 0002187E
005BC 0001323C
005C0 00054D85
005C4 000D34A1
005C8 000F1DD8
005CC 000FC21D
005D0 000A469E
005D4 00019C26
005D8 000877CF
005DC 00066B78
005E0 000D37A3
005E4 000FA0EC
005E8 000DDB3A
005EC 00043D1F
005F0 000EEC0F
005F4 00001A6C
005F8 000BD04B
005FC 000A0FFA
00600 00054D4E
00604 000B7886
00608 00064CD3
0060C 000DEEE4
00610 0007039A
00614 000BB3E4
00618 000371AE
0061C 000FC5B2
00620 0002A4CC
00624 0001B976
00628 000DD6CD
0062C 000AEA87
00630 00055E6C
00634 000B4C82
00638 000F60D5
0063C 000CF986
00640 00064946
00644 000AD036
00648 000275CA
0064C 000BDD27
00650 000E2B24
00654 0007E74E
00658 0004005B
0065C 000DB2E3
00660 000286DF
00664 000FE441
00668 0007277B
0066C 0002FD70
00670 0000F6CB
00674 000EB1CF
00678 00050133
0067C 00071FFD
00680 000B3C25
00684 000B62C8
00688 00082A6B
0068C 000B90F6
00690 0008A02F
00694 0006F6C4
00698 00089E39
0069C 000D4B65
006A0 000F99EE
006A4 00040AE1
006A8 000993AC
006AC 0007C900
006B0 000685E5
006B4 000046D1
006B8 000F3A0B
006BC 00038EFE
006C0 000F5ADF
006C4 000AA08B
006C8 00026E3C
006CC 000AAC11
006D0 00075E1A
006D4 0009F2CF
006D8 000BC362
006DC 000F6928
006E0 000A787A
006E4 00082F39
006E8 000E2263
006EC 00069B0A
006F0 0001E33D
006F4 00087FA4
006F8 00016168
006FC 0004A3F0
00700 0003E384
00704 000040CD
00708 0009461E
0070C 00082D33
00710 000E34B0
00714 000E54E3
00718 000CA417
0071C 0006272D
00720 000B7B15
00724 000EDE55
00728 000FFCFD
0072C 0005631D
00730 000267A4
00734 000B115E
00738 000065E6
0073C 0003E29D
00740 0004FF0E
00744 000F12FF
00748 000ACA15
0074C 000DAF5E
00750 0009FA43
00754 00086600
00758 000A1636
0075C 00017B07
00760 0002A77B
00764 00080B4A
00768 00056A5A
0076C 000A5AF5
00770 000A9431
00774 00071B64
00778 0000A8B0
0077C 000E57AD
00780 0003CEF0
00784 000BDD53
00788 0004D6C7
0078C 0000E372
00790 00030350
00794 00086F51
00798 000E7C22
0079C 000F3595
007A0 0001565E
007A4 0005A4BD
007A8 000694A8
007AC 000A0258
007B0 000569D9
007B4 00062173
007B8 00025639
007BC 000456E6
007C0 00083048
007C4 000813C1
007C8 00025DA1
007CC 0005340E
007D0 00009638
007D4 00058796
007D8 0009D4CA
007DC 000DF632
007E0 000C070B
007E4 00056CA7
007E8 0006823D
007EC 00037BCC
007F0 0000E9EB
007F4 00036DB7
007F8 00084716
007FC 000377EB
00800 000E6CE4
00804 00059BD6
00808 000DF015
0080C 00070C75
00810 000BC4D0
00814 000C1E95
00818 000D666D
0081C 00047BE3
00820 000A6CA9
00824 000323FE
00828 000CD7E0
0082C 000C62E6
00830 000F007B
00834 0006BC18
00838 0008D247
0083C 000D718F
00840 000AC8A1
00844 00061113
00848 000044B7
0084C 000B3D8E
00850 000EB181
00854 000DAC19
00858 000BC9F3
0085C 0006649E
00860 000956BA
00864 0009DD98
00868 0003FB07
0086C 0003C389
00870 000773DF
00874 000F6CFB
00878 00003B2A
0087C 000CD73F
00880 000EA5FF
00884 0003DBF0
00
