00000 3EB89FC9
00004 3F05842F
00008 3E3FF37A
0000C 3D0D5119
00010 3E113849
00014 3E2056B4
00018 3F0701F9
0001C 3DBB11D9
00020 3E3F5DF9
00024 3DFAB37D
00028 3F2B9A52
0002C 3F0BA797
00030 3EBECAFE
00034 3F3D9B60
00038 3E77872C
0003C 3E63CEC8
00040 3D3EC126
00044 3F22565C
00048 3F071398
0004C 3E5ED3BE
00050 3E8994B6
00054 3F078488
00058 3E57C9C0
0005C 3EC698D9
00060 3EE1F18C
00064 3F21EB9B
00068 3EBB2C13
0006C 3F134400
00070 3F067E22
00074 3F146FB3
00078 3F09D174
0007C 3F0A214A
00080 00000000
00084 00000000
00088 00000000
0008C 00000000
00090 00000000
00094 00000000
00098 00000000
0009C 00000000
000A0 00000000
000A4 00000000
000A8 00000000
000AC 00000000
000B0 00000000
000B4 00000000
000B8 00000000
000BC 00000000
000C0 00000000
000C4 00000000
000C8 00000000
000CC 00000000
000D0 00000000
000D4 00000000
000D8 00000000
000DC 00000000
000E0 00000000
000E4 00000000
000E8 00000000
000EC 00000000
000F0 00000000
000F4 00000000
000F8 00000000
000FC 00000000
00100 3EB4A62D
00104 3EFF175F
00108 3E3ED433
0010C 3D0D49EC
00110 3E10BBCC
00114 3E1FAF2E
00118 3F00D62B
0011C 3DBACF48
00120 3E3E414F
00124 3DFA1352
00128 3F1F0A56
0012C 3F04D4B5
00130 3EBA686E
00134 3F2CBF42
00138 3E751FDE
0013C 3E61EEEA
00140 3D3EAF7F
00144 3F17AD1C
00148 3F00E566
0014C 3E5D129F
00150 3E87EE62
00154 3F0146EE
00158 3E5631CD
0015C 3EC1A790
00160 3EDAAE76
00164 3F17570D
00168 3EB707F0
0016C 3F0B471F
00170 3F00642C
00174 3F0C423B
00178 3F0341EB
0017C 3F038671
00180 00000000
00184 00000000
00188 00000000
0018C 00000000
00190 00000000
00194 00000000
00198 00000000
0019C 00000000
001A0 00000000
001A4 00000000
001A8 00000000
001AC 00000000
001B0 00000000
001B4 00000000
001B8 00000000
001BC 00000000
001C0 00000000
001C4 00000000
001C8 00000000
001CC 00000000
001D0 00000000
001D4 00000000
001D8 00000000
001DC 00000000
001E0 00000000
001E4 00000000
001E8 00000000
001EC 00000000
001F0 00000000
001F4 00000000
001F8 00000000
001FC 00000000
00200 00000000
00204 00000000
00208 00000000
0020C 00000000
00210 00000000
00214 00000000
00218 00000000
0021C 00000000
00220 00000000
00224 00000000
00228 00000000
0022C 00000000
00230 00000000
00234 00000000
00238 00000000
0023C 00000000
00240 00000000
00244 00000000
00248 00000000
0024C 00000000
00250 00000000
00254 00000000
00258 00000000
0025C 00000000
00260 00000000
00264 00000000
00268 00000000
0026C 00000000
00270 00000000
00274 00000000
00278 00000000
0027C 00000000
00280 00000000
00284 00000000
00288 00000000
0028C 00000000
00290 00000000
00294 00000000
00298 00000000
0029C 00000000
002A0 00000000
002A4 00000000
002A8 00000000
002AC 00000000
002B0 00000000
002B4 00000000
002B8 00000000
002BC 00000000
002C0 00000000
002C4 00000000
002C8 00000000
002CC 00000000
002D0 00000000
002D4 00000000
002D8 00000000
002DC 00000000
002E0 00000000
002E4 00000000
002E8 00000000
002EC 00000000
002F0 00000000
002F4 00000000
002F8 00000000
002FC 00000000
00300 00000000
00304 00000000
00308 00000000
0030C 00000000
00310 00000000
00314 00000000
00318 00000000
0031C 00000000
00320 00000000
00324 00000000
00328 00000000
0032C 00000000
00330 00000000
00334 00000000
00338 00000000
0033C 00000000
00340 00000000
00344 00000000
00348 00000000
0034C 00000000
00350 00000000
00354 00000000
00358 00000000
0035C 00000000
00360 00000000
00364 00000000
00368 00000000
0036C 00000000
00370 00000000
00374 00000000
00378 00000000
0037C 00000000
00380 00000000
00384 00000000
00388 00000000
0038C 00000000
00390 00000000
00394 00000000
00398 00000000
0039C 00000000
003A0 00000000
003A4 00000000
003A8 00000000
003AC 00000000
003B0 00000000
003B4 00000000
003B8 00000000
003BC 00000000
003C0 00000000
003C4 00000000
003C8 00000000
003CC 00000000
003D0 00000000
003D4 00000000
003D8 00000000
003DC 00000000
003E0 00000000
003E4 00000000
003E8 00000000
003EC 00000000
003F0 00000000
003F4 00000000
003F8 00000000
003FC 00000000
00400 00000000
00404 00000000
00408 00000000
0040C 00000000
00410 00000000
00414 00000000
00418 00000000
0041C 00000000
00420 00000000
00424 00000000
00428 00000000
0042C 00000000
00430 00000000
00434 00000000
00438 00000000
0043C 00000000
00440 00000000
00444 00000000
00448 00000000
0044C 00000000
00450 00000000
00454 00000000
00458 00000000
0045C 00000000
00460 00000000
00464 00000000
00468 00000000
0046C 00000000
00470 00000000
00474 00000000
00478 00000000
0047C 00000000
00480 00000000
00484 00000000
00488 00000000
0048C 00000000
00490 00000000
00494 00000000
00498 00000000
0049C 00000000
004A0 00000000
004A4 00000000
004A8 00000000
004AC 00000000
004B0 00000000
004B4 00000000
004B8 00000000
004BC 00000000
004C0 00000000
004C4 00000000
004C8 00000000
004CC 00000000
004D0 00000000
004D4 00000000
004D8 00000000
004DC 00000000
004E0 00000000
004E4 00000000
004E8 00000000
004EC 00000000
004F0 00000000
004F4 00000000
004F8 00000000
004FC 00000000
00500 00000000
00504 00000000
00508 00000000
0050C 00000000
00510 00000000
00514 00000000
00518 00000000
0051C 00000000
00520 00000000
00524 00000000
00528 00000000
0052C 00000000
00530 00000000
00534 00000000
00538 00000000
0053C 00000000
00540 00000000
00544 00000000
00548 00000000
0054C 00000000
00550 00000000
00554 00000000
00558 00000000
0055C 00000000
00560 00000000
00564 00000000
00568 00000000
0056C 00000000
00570 00000000
00574 00000000
00578 00000000
0057C 00000000
00580 00000000
00584 00000000
00588 00000000
0058C 00000000
00590 00000000
00594 00000000
00598 00000000
0059C 00000000
005A0 00000000
005A4 00000000
005A8 00000000
005AC 00000000
005B0 00000000
005B4 00000000
005B8 00000000
005BC 00000000
005C0 00000000
005C4 00000000
005C8 00000000
005CC 00000000
005D0 00000000
005D4 00000000
005D8 00000000
005DC 00000000
005E0 00000000
005E4 00000000
005E8 00000000
005EC 00000000
005F0 00000000
005F4 00000000
005F8 00000000
005FC 00000000
00600 00000000
00604 00000000
00608 00000000
0060C 00000000
00610 00000000
00614 00000000
00618 00000000
0061C 00000000
00620 00000000
00624 00000000
00628 00000000
0062C 00000000
00630 00000000
00634 00000000
00638 00000000
0063C 00000000
00640 00000000
00644 00000000
00648 00000000
0064C 00000000
00650 00000000
00654 00000000
00658 00000000
0065C 00000000
00660 00000000
00664 00000000
00668 00000000
0066C 00000000
00670 00000000
00674 00000000
00678 00000000
0067C 00000000
00680 00000000
00684 00000000
00688 00000000
0068C 00000000
00690 00000000
00694 00000000
00698 00000000
0069C 00000000
006A0 00000000
006A4 00000000
006A8 00000000
006AC 00000000
006B0 00000000
006B4 00000000
006B8 00000000
006BC 00000000
006C0 00000000
006C4 00000000
006C8 00000000
006CC 00000000
006D0 00000000
006D4 00000000
006D8 00000000
006DC 00000000
006E0 00000000
006E4 00000000
006E8 00000000
006EC 00000000
006F0 00000000
006F4 00000000
006F8 00000000
006FC 00000000
00700 00000000
00704 00000000
00708 00000000
0070C 00000000
00710 00000000
00714 00000000
00718 00000000
0071C 00000000
00720 00000000
00724 00000000
00728 00000000
0072C 00000000
00730 00000000
00734 00000000
00738 00000000
0073C 00000000
00740 00000000
00744 00000000
00748 00000000
0074C 00000000
00750 00000000
00754 00000000
00758 00000000
0075C 00000000
00760 00000000
00764 00000000
00768 00000000
0076C 00000000
00770 00000000
00774 00000000
00778 00000000
0077C 00000000
00780 00000000
00784 00000000
00788 00000000
0078C 00000000
00790 00000000
00794 00000000
00798 00000000
0079C 00000000
007A0 00000000
007A4 00000000
007A8 00000000
007AC 00000000
007B0 00000000
007B4 00000000
007B8 00000000
007BC 00000000
007C0 00000000
007C4 00000000
007C8 00000000
007CC 00000000
007D0 00000000
